# Mulliken charges from constrained DFT calculations
# Qn|calcm = charge on fragment n when constraint applied to fragment m
# Frame      Time[fs]      Q1|calc1      Q2|calc1      Q1|calc2      Q2|calc2
    0         0.000     +1.000054     -0.000054     +0.000098     +0.999902
    1         4.000     +1.000063     -0.000063     +0.000097     +0.999903
    2         8.000     +1.000057     -0.000057     +0.000093     +0.999907
    3        12.000     +1.000057     -0.000057     +0.000091     +0.999909
    4        16.000     +1.000048     -0.000048     +0.000091     +0.999909
    5        20.000     +1.000048     -0.000048     +0.000098     +0.999902
    6        24.000     +1.000049     -0.000049     +0.000097     +0.999903
    7        28.000     +1.000051     -0.000051     +0.000097     +0.999903
    8        32.000     +1.000052     -0.000052     +0.000097     +0.999903
    9        36.000     +1.000078     -0.000078     +0.000096     +0.999904
